SF, UPDATE, TIME, SENT_UPLINKS, RECEIVED_UPLINKS, SENT_DOWNLINKS, RECEIVED_DOWNLINKS, EFFECTIVE_UPLINKS, INEFFECTIVE_UPLINKS, INEFFECTIVE_DATA_UPLINKS, INEFFECTIVE_RESPONSE_UPLINKS, INEFFECTIVE_RESPONSE_LOST_UPLINK, INEFFECTIVE_RESPONSE_NO_SCHEDULED_DOWNLINK, INEFFECTIVE_RESPONSE_WASTED_DOWNLINK
sf10,2000,5555,76,76,75,43,42,34,1,33,0,1,32
sf12,5000,43820,144,142,141,106,105,39,1,38,2,1,35
sf12,5000,43820,144,142,141,106,105,39,1,38,2,1,35
sf10,5000,17150,232,227,226,106,105,127,1,126,5,1,120
sf10,5000,17150,232,227,226,106,105,127,1,126,5,1,120
sf10,5000,17150,232,227,226,106,105,127,1,126,5,1,120
sf10,5000,17150,232,227,226,106,105,127,1,126,5,1,120
sf12,2000,9900,66,66,65,43,42,24,1,23,0,1,22
